,Finance company,Public company,Before,Operation,After,Date
167,KeyBanc,触宝,增持,维持在,增持,2020-03-13
168,KeyBanc,CenterPointEnergy,与类股一致,下调,减持,2020-03-13
169,摩根大通,Adobe,中性,上调,增持,2020-03-13
170,KeyBanc,博通,增持,维持在,增持,2020-03-13
171,摩根大通,DolbyLaboratories,中性,上调,增持,2020-03-13
172,KeyBanc,美国电力公司,与类股一致,上调,增持,2020-03-13
173,RaymondJames,NextEraEnergyPartners,与大盘一致,上调,强于大盘,2020-03-13
174,RaymondJames,MarketAxess,与大盘一致,上调,强于大盘,2020-03-13
175,PiperSandler,InovioPharma,增持,下调,中性,2020-03-13
176,富国银行,苹果公司,中性,上调,增持,2020-03-13
177,高盛,USBancorp,卖出,上调,中性,2020-03-13
178,高盛,VirBiotechnology,买进,下调,中性,2020-03-13
179,BMOCapital,Amcor初始,与大盘一致,定为,与大盘一致,2020-03-13
180,RothCapital,IDEAYABiosciences初始,买进,定为,买进,2020-03-13
181,高盛,WasteManagement,买进,下调,中性,2020-03-13
182,高盛,VertivHoldings初始,买进,定为,买进,2020-03-13
183,CantorFitzgerald,和黄中国医药科技有限公司初始,增持,定为,增持,2020-03-13
184,高盛,Valvoline,中性,上调,买进,2020-03-13
185,高盛,金宝汤,中性,下调,卖出,2020-03-13
186,大和资本,宁德时代,卖出,上调,持有,2020-03-13
187,大和资本,保利协鑫能源,持有,下调,弱于大盘,2020-03-13
188,CFRA,USFoodsHolding,买进,下调,持有,2020-03-13
189,CFRA,ConagraBrands,买进,上调,强烈建议买进,2020-03-12
190,CanaccordGenuity,波音公司,持有,维持在,持有,2020-03-12
191,瑞士信贷,EntasisTherapeutics,强于大盘,维持在,强于大盘,2020-03-12
192,Sidoti&Co.,DouglasDynamics,中性,上调,买进,2020-03-12
193,Sidoti&Co.,Park-OhioHoldings,买进,维持在,买进,2020-03-12
194,Sidoti&Co.,InsteelIndustries,中性,维持在,中性,2020-03-12
195,德银,WernerEnterprises,买进,维持在,买进,2020-03-12
196,德银,UnionPacific,买进,维持在,买进,2020-03-12
197,德银,Saia,买进,维持在,买进,2020-03-12
198,德银,OldDominionFreight,持有,维持在,持有,2020-03-12
199,德银,NorfolkSouthern,持有,维持在,持有,2020-03-12
200,德银,KansasCitySouthern,持有,维持在,持有,2020-03-12
201,德银,CSXCorp,买进,维持在,买进,2020-03-12
202,德银,杜邦公司,买进,维持在,买进,2020-03-12
203,德银,UnitedNaturalFoods,持有,维持在,持有,2020-03-12
204,德银,百事公司,持有,维持在,持有,2020-03-12
205,Needham,Lantronix,买进,维持在,买进,2020-03-12
206,BofASecurities,美国运通公司,买进,下调,中性,2020-03-12
207,BofASecurities,FoundationBuildingMatls,买进,下调,弱于大盘,2020-03-12
208,BofASecurities,NVRInc,买进,下调,中性,2020-03-12
209,瑞士信贷,Tellurian,强于大盘,下调,中性,2020-03-12
210,ArgusResearch,思佳讯,持有,上调,买进,2020-03-12
211,ArgusResearch,Snap,持有,上调,买进,2020-03-12
212,摩根士丹利,XcelEnergy,中性,维持在,中性,2020-03-12
213,摩根士丹利,SpireInc,减持,维持在,减持,2020-03-12
214,摩根士丹利,SouthernCo,减持,维持在,减持,2020-03-12
215,ArgusResearch,RegeneronPharma,买进,维持在,买进,2020-03-12
216,摩根士丹利,SempraEnergy,中性,维持在,中性,2020-03-12
217,ArgusResearch,美高梅国际酒店集团,买进,下调,持有,2020-03-12
218,瑞士信贷,ShellMidstreamPartners,弱于大盘,上调,中性,2020-03-12
219,摩根士丹利,标普全球,增持,维持在,增持,2020-03-12
220,摩根士丹利,PSE&G,增持,维持在,增持,2020-03-12
221,摩根大通,Workday,增持,维持在,增持,2020-03-12
222,瑞士信贷,CheniereEnergyPartners,弱于大盘,上调,中性,2020-03-12
223,摩根大通,Weingarten,中性,维持在,中性,2020-03-12
224,摩根士丹利,PinnacleWestCapital,减持,维持在,减持,2020-03-12
225,摩根大通,NexTierOilfield,增持,维持在,增持,2020-03-12
226,摩根士丹利,NextEraEnergy,增持,维持在,增持,2020-03-12
227,摩根士丹利,Moody's,中性,维持在,中性,2020-03-12
228,摩根大通,JonesLangLasalle,增持,维持在,增持,2020-03-12
229,瑞士信贷,Oneok,中性,上调,强于大盘,2020-03-12
230,RaymondJames,RymanHospitality,强于大盘,维持在,强于大盘,2020-03-12
231,RaymondJames,RLJLodgingTrust,强于大盘,维持在,强于大盘,2020-03-12
232,摩根士丹利,Entergy,中性,维持在,中性,2020-03-12
233,摩根士丹利,EdisonInternational,中性,维持在,中性,2020-03-12
234,摩根士丹利,杜克能源,中性,维持在,中性,2020-03-12
235,摩根士丹利,DTEEnergy,中性,维持在,中性,2020-03-12
236,摩根士丹利,DominionEnergy,中性,维持在,中性,2020-03-12
237,摩根士丹利,ConsolidatedEdison,减持,维持在,减持,2020-03-12
238,摩根士丹利,CMSEnergy,中性,维持在,中性,2020-03-12
239,摩根士丹利,AtmosEnergy,增持,维持在,增持,2020-03-12
240,摩根士丹利,美国电力公司,增持,维持在,增持,2020-03-12
241,H.C.Wainwright,ArcturusTherapeutics,买进,维持在,买进,2020-03-12
242,摩根士丹利,Ameren,增持,维持在,增持,2020-03-12
243,摩根士丹利,爱依斯公司,中性,维持在,中性,2020-03-12
244,RaymondJames,PhysiciansRealtyTrust,强于大盘,维持在,强于大盘,2020-03-12
245,RaymondJames,HealthcareRealty,强于大盘,维持在,强于大盘,2020-03-12
246,RaymondJames,Tellurian,强于大盘,下调,与大盘一致,2020-03-12
247,RaymondJames,TargaResources,强烈建议买进,下调,强于大盘,2020-03-12
248,Needham,Semtech,持有,上调,买进,2020-03-12
249,RaymondJames,RattlerMidstream,强于大盘,下调,与大盘一致,2020-03-12
250,H.C.Wainwright,INmuneBio,买进,维持在,买进,2020-03-12
251,RaymondJames,PlainsGPHoldings,强烈建议买进,下调,强于大盘,2020-03-12
252,Needham,36KRHoldings,买进,维持在,买进,2020-03-12
253,RaymondJames,PlainsAllAmerican,强烈建议买进,下调,强于大盘,2020-03-12
254,RaymondJames,PBFLogistics,强于大盘,下调,与大盘一致,2020-03-12
255,RaymondJames,NGLEnergyPartners,强于大盘,下调,与大盘一致,2020-03-12
256,RaymondJames,MPLX,强于大盘,下调,与大盘一致,2020-03-12
257,B.RileyFBR,Guess,买进,维持在,买进,2020-03-12
258,Wedbush,盖璞,中性,维持在,中性,2020-03-12
259,RaymondJames,DelekLogisticsPartners,强于大盘,下调,与大盘一致,2020-03-12
260,RaymondJames,EnlinkMidstream,强于大盘,下调,与大盘一致,2020-03-12
261,B.RileyFBR,BioLifeSolutions,买进,维持在,买进,2020-03-12
262,RaymondJames,DCPMidstream,强于大盘,下调,与大盘一致,2020-03-12
263,B.RileyFBR,BlueLinx,买进,维持在,买进,2020-03-12
264,RaymondJames,CrestwoodEquityPartners,强烈建议买进,下调,强于大盘,2020-03-12
265,Wedbush,DelTacoRestaurants,强于大盘,维持在,强于大盘,2020-03-12
266,Stephens&Co.,Sientra,增持,维持在,增持,2020-03-12
267,汇丰,Youdao初始,买进,定为,买进,2020-03-12
268,BofASecurities,TollBrothers,中性,下调,弱于大盘,2020-03-12
269,BMOCapital,InvestorsRealEstateTr,强于大盘,下调,与大盘一致,2020-03-12
270,BMOCapital,HostHotels&Resorts,强于大盘,下调,与大盘一致,2020-03-12
271,BMOCapital,EmpireStateRealtyTrust,与大盘一致,下调,弱于大盘,2020-03-12
272,RaymondJames,希尔顿酒店集团,强于大盘,下调,与大盘一致,2020-03-12
273,Benchmark,SonicAuto初始,买进,定为,买进,2020-03-12
274,Cowen&Co.,Ametek,与大盘一致,上调,强于大盘,2020-03-12
275,摩根士丹利,腾讯音乐娱乐集团,中性,上调,增持,2020-03-12
276,Bernstein,WilliamsCos,与大盘一致,上调,强于大盘,2020-03-12
277,BofASecurities,KBHome,中性,上调,买进,2020-03-12
278,Wedbush,DardenRestaurants,中性,维持在,中性,2020-03-12
279,RaymondJames,KinderMorgan,与大盘一致,上调,强于大盘,2020-03-12
280,Stephens&Co.,LimoneiraCo,中性,维持在,中性,2020-03-12
281,SunTrustRobinsonHumphrey,FocusFinancialPartners,持有,上调,买进,2020-03-12
282,PiperSandler,ValeroEnergy,中性,上调,增持,2020-03-12
283,摩根士丹利,特斯拉,减持,维持在,减持,2020-03-12
284,贝雅,AkamaiTechnologies,中性,上调,强于大盘,2020-03-12
285,花旗集团,道达尔集团,中性,上调,买进,2020-03-12
286,AtlanticEquities,福斯公司,减持,上调,中性,2020-03-12
287,巴克莱,WECEnergyGroup,中性,下调,减持,2020-03-12
288,巴克莱,NiSource,增持,下调,中性,2020-03-12
289,摩根大通,MiratiTherapeutics,减持,上调,中性,2020-03-12
290,花旗集团,VandaPharmaceuticals,中性,上调,买进,2020-03-12
291,巴克莱,PSE&G,中性,上调,增持,2020-03-12
292,巴克莱,杜克能源,增持,下调,中性,2020-03-12
293,巴克莱,PinnacleWestCapital,增持,下调,中性,2020-03-12
294,Stifel,DCPMidstream,买进,下调,持有,2020-03-12
295,CompassPoint,Acushnet,卖出,上调,中性,2020-03-12
296,摩根大通,惠普,中性,上调,增持,2020-03-12
297,ImperialCapital,华特迪士尼公司,与大盘一致,维持在,与大盘一致,2020-03-12
298,高盛,Momenta初始,中性,定为,中性,2020-03-12
299,贝雅,TeladocHealth,强于大盘,下调,中性,2020-03-12
300,花旗集团,英国石油公司,买进,下调,中性,2020-03-12
301,摩根大通,波音公司,增持,下调,中性,2020-03-12
302,KeyBanc,康卡斯特,增持,维持在,增持,2020-03-12
303,KeyBanc,AlleghenyTechnologies,增持,维持在,增持,2020-03-12
304,瑞士信贷,CabotOil&Gas,中性,上调,强于大盘,2020-03-12
305,瑞士信贷,RangeResources,中性,下调,弱于大盘,2020-03-12
306,瑞士信贷,EQTCorp,强于大盘,下调,中性,2020-03-12
307,瑞士信贷,中国海洋石油,强于大盘,下调,弱于大盘,2020-03-12
308,瑞士信贷,西方石油公司,中性,下调,弱于大盘,2020-03-12
309,德银,Snap,持有,上调,买进,2020-03-12
310,瑞士信贷,Ovintiv,强于大盘,下调,中性,2020-03-12
311,瑞士信贷,ConchoResources,中性,上调,强于大盘,2020-03-12
312,大和资本,北京汽车,持有,上调,买进,2020-03-12
313,花旗集团,深南电路,买进,下调,卖出,2020-03-12
314,CFRA,家得宝,持有,上调,强烈建议买进,2020-03-12
315,Cowen&Co.,Cimarex,与大盘一致,上调,强于大盘,2020-03-11
316,摩根大通,武田药品工业,增持,维持在,增持,2020-03-11
317,摩根大通,PenskeAuto,中性,维持在,中性,2020-03-11
318,摩根大通,西方石油公司,减持,维持在,减持,2020-03-11
319,摩根大通,MobileTeleSystems,增持,维持在,增持,2020-03-11
320,摩根大通,LithiaMotors,增持,维持在,增持,2020-03-11
321,摩根大通,Group1Auto,增持,维持在,增持,2020-03-11
322,Cowen&Co.,Domo,强于大盘,维持在,强于大盘,2020-03-11
323,摩根大通,雪佛龙公司,增持,维持在,增持,2020-03-11
324,摩根大通,Cerner,中性,维持在,中性,2020-03-11
325,摩根大通,BeyondMeat,中性,维持在,中性,2020-03-11
326,摩根大通,AsburyAutomotive,减持,维持在,减持,2020-03-11
327,摩根大通,EPAMSystems,增持,维持在,增持,2020-03-11
328,摩根大通,ChemoCentryx,增持,维持在,增持,2020-03-11
329,SunTrustRobinsonHumphrey,陶氏化学公司,买进,维持在,买进,2020-03-11
330,野村证券,Dick'sSportingGoods,中性,维持在,中性,2020-03-11
331,SunTrustRobinsonHumphrey,光辉国际,买进,维持在,买进,2020-03-11
332,SunTrustRobinsonHumphrey,LifeStorage,持有,维持在,持有,2020-03-11
333,SunTrustRobinsonHumphrey,RegencyCenters,买进,维持在,买进,2020-03-11
334,SunTrustRobinsonHumphrey,SITECenters,持有,维持在,持有,2020-03-11
335,SunTrustRobinsonHumphrey,UnitedCommunityBanks,持有,维持在,持有,2020-03-11
336,SunTrustRobinsonHumphrey,Weingarten,买进,维持在,买进,2020-03-11
337,SunTrustRobinsonHumphrey,Cerner,买进,维持在,买进,2020-03-11
338,SunTrustRobinsonHumphrey,BWXTechnologies,持有,上调,买进,2020-03-11
339,贝雅,IAA,强于大盘,维持在,强于大盘,2020-03-11
340,贝雅,Copart,强于大盘,维持在,强于大盘,2020-03-11
341,贝雅,WEX,强于大盘,维持在,强于大盘,2020-03-11
342,贝雅,Visa,强于大盘,维持在,强于大盘,2020-03-11
343,贝雅,万事达卡,强于大盘,维持在,强于大盘,2020-03-11
344,贝雅,GlobalPayments,强于大盘,维持在,强于大盘,2020-03-11
345,贝雅,FleetCor,中性,维持在,中性,2020-03-11
346,贝雅,Fiserv,强于大盘,维持在,强于大盘,2020-03-11
347,贝雅,FidelityNational,强于大盘,维持在,强于大盘,2020-03-11
348,贝雅,2U,中性,维持在,中性,2020-03-11
349,贝雅,Dick'sSportingGoods,中性,维持在,中性,2020-03-11
350,贝雅,CastleBiosciences,强于大盘,维持在,强于大盘,2020-03-11
351,德银,缤客,买进,维持在,买进,2020-03-11
352,贝雅,ConstellationPharma,强于大盘,维持在,强于大盘,2020-03-11
353,德银,DocuSign,买进,维持在,买进,2020-03-11
354,PiperSandler,Progressive,增持,维持在,增持,2020-03-11
355,PiperSandler,HanoverInsurance,增持,维持在,增持,2020-03-11
356,德银,TransUnion,买进,维持在,买进,2020-03-11
357,德银,陶氏化学公司,买进,维持在,买进,2020-03-11
358,PiperSandler,Travelers,中性,维持在,中性,2020-03-11
359,德银,AirLease,买进,维持在,买进,2020-03-11
360,PiperSandler,CincinnatiFincl,减持,维持在,减持,2020-03-11
361,PiperSandler,好事达公司,增持,维持在,增持,2020-03-11
362,PiperSandler,AmericanFinclGroup,增持,维持在,增持,2020-03-11
363,德银,Casey'sGeneralStores,买进,维持在,买进,2020-03-11
364,瑞士信贷,光辉国际,弱于大盘,维持在,弱于大盘,2020-03-11
365,ArgusResearch,达美航空公司,买进,下调,持有,2020-03-11
366,ArgusResearch,美国联合大陆控股有限公司,买进,下调,持有,2020-03-11
367,瑞士信贷,Domo,中性,维持在,中性,2020-03-11
368,瑞士信贷,Incyte,中性,维持在,中性,2020-03-11
369,Oppenheimer,WescoInternational,强于大盘,维持在,强于大盘,2020-03-11
370,Oppenheimer,RegeneronPharma,强于大盘,维持在,强于大盘,2020-03-11
371,Stifel,TexasRoadhouse,持有,维持在,持有,2020-03-11
372,Stifel,ShakeShack,持有,维持在,持有,2020-03-11
373,Stifel,PrincipiaBiopharma,买进,维持在,买进,2020-03-11
374,Stifel,JackInTheBox,买进,维持在,买进,2020-03-11
375,Stifel,DardenRestaurants,买进,维持在,买进,2020-03-11
376,Stifel,BrinkerInternational,买进,维持在,买进,2020-03-11
377,Stifel,MRCGlobal,持有,上调,买进,2020-03-11
378,摩根士丹利,WestlakeChemical,中性,维持在,中性,2020-03-11
379,摩根士丹利,SyndaxPharmaceuticals,中性,维持在,中性,2020-03-11
380,摩根士丹利,SimonProperty,中性,维持在,中性,2020-03-11
381,摩根士丹利,LithiaMotors,增持,维持在,增持,2020-03-11
382,摩根士丹利,Group1Auto,增持,维持在,增持,2020-03-11
383,摩根士丹利,通用汽车公司,增持,维持在,增持,2020-03-11
384,摩根士丹利,陶氏化学公司,中性,维持在,中性,2020-03-11
385,摩根士丹利,福特汽车公司,增持,维持在,增持,2020-03-11
386,摩根士丹利,AutoNation,减持,维持在,减持,2020-03-11
387,富国银行,WPXEnergy,增持,维持在,增持,2020-03-11
388,花旗集团,Visa,买进,维持在,买进,2020-03-11
389,富国银行,SJWGroup,增持,维持在,增持,2020-03-11
390,花旗集团,Methanex,中性,维持在,中性,2020-03-11
391,富国银行,VailResorts,中性,维持在,中性,2020-03-11
392,富国银行,Twilio,增持,维持在,增持,2020-03-11
393,花旗集团,万事达卡,买进,维持在,买进,2020-03-11
394,富国银行,西方石油公司,中性,维持在,中性,2020-03-11
395,富国银行,HubSpot,中性,维持在,中性,2020-03-11
396,花旗集团,伊士曼化工公司,中性,维持在,中性,2020-03-11
397,花旗集团,陶氏化学公司,中性,维持在,中性,2020-03-11
398,富国银行,GuidewireSoftware,减持,维持在,减持,2020-03-11
399,花旗集团,杜邦公司,买进,维持在,买进,2020-03-11
400,富国银行,EssentialUtilities,中性,维持在,中性,2020-03-11
401,富国银行,DXCTechnology,减持,维持在,减持,2020-03-11
402,富国银行,CoupaSoftware,中性,维持在,中性,2020-03-11
