,content,date
153,BTIG Research将ViewRay评级从买进下调至中性,2020-03-13
154,Needham将World Wrestling评级维持在买进,2020-03-13
155,Needham将Asure Software评级维持在买进,2020-03-13
156,Needham将Silicon Laboratories评级维持在买进,2020-03-13
157,德银将Vivint Smart Home评级从持有下调至卖出,2020-03-13
158,贝雅将Fastenal评级从中性上调至强于大盘,2020-03-13
159,William Blair将思杰系统公司评级从与大盘一致上调至强于大盘,2020-03-13
160,Imperial Capital将Northern Oil评级维持在强于大盘,2020-03-13
161,Imperial Capital将Earthstone Energy评级维持在强于大盘,2020-03-13
162,KeyBanc将WEC Energy Group评级从与类股一致上调至增持,2020-03-13
163,KeyBanc将Sempra Energy评级从增持下调至与类股一致,2020-03-13
164,KeyBanc将Park-Ohio Holdings评级维持在增持,2020-03-13
165,KeyBanc将Otter Tail评级从增持下调至与类股一致,2020-03-13
166,高盛将卡夫亨氏公司评级从卖出上调至中性,2020-03-13
167,KeyBanc将触宝评级维持在增持,2020-03-13
168,KeyBanc将CenterPoint Energy评级从与类股一致下调至减持,2020-03-13
169,摩根大通将Adobe评级从中性上调至增持,2020-03-13
170,KeyBanc将博通评级维持在增持,2020-03-13
171,摩根大通将Dolby Laboratories评级从中性上调至增持,2020-03-13
172,KeyBanc将美国电力公司评级从与类股一致上调至增持,2020-03-13
173,Raymond James将NextEra Energy Partners评级从与大盘一致上调至强于大盘,2020-03-13
174,Raymond James将MarketAxess评级从与大盘一致上调至强于大盘,2020-03-13
175,Piper Sandler将Inovio Pharma评级从增持下调至中性,2020-03-13
176,富国银行将苹果公司评级从中性上调至增持,2020-03-13
177,高盛将US Bancorp评级从卖出上调至中性,2020-03-13
178,高盛将Vir Biotechnology评级从买进下调至中性,2020-03-13
179,BMO Capital将Amcor初始评级定为与大盘一致,2020-03-13
180,Roth Capital将IDEAYA Biosciences初始评级定为买进,2020-03-13
181,高盛将Waste Management评级从买进下调至中性,2020-03-13
182,高盛将Vertiv Holdings初始评级定为买进,2020-03-13
183,Cantor Fitzgerald将和黄中国医药科技有限公司初始评级定为增持,2020-03-13
184,高盛将Valvoline评级从中性上调至买进,2020-03-13
185,高盛将金宝汤评级从中性下调至卖出,2020-03-13
186,* 大和资本将宁德时代评级从卖出上调至持有>300750.SZ,2020-03-13
187,* 大和资本将保利协鑫能源评级从持有下调至弱于大盘>3800.HK,2020-03-13
188,CFRA将US Foods Holding评级从买进下调至持有,2020-03-13
189,CFRA将Conagra Brands评级从买进上调至强烈建议买进,2020-03-12
190,Canaccord Genuity将波音公司评级维持在持有,2020-03-12
191,瑞士信贷将Entasis Therapeutics评级维持在强于大盘,2020-03-12
192,瑞士信贷将目标价Hospitality评级维持在强于大盘,2020-03-12
193,Sidoti&Co.将Douglas Dynamics评级从中性上调至买进,2020-03-12
194,Sidoti&Co.将Park-Ohio Holdings评级维持在买进,2020-03-12
195,Sidoti&Co.将Insteel Industries评级维持在中性,2020-03-12
196,德银将Werner Enterprises评级维持在买进,2020-03-12
197,德银将Union Pacific评级维持在买进,2020-03-12
198,德银将Saia评级维持在买进,2020-03-12
199,德银将Old Dominion Freight评级维持在持有,2020-03-12
200,德银将Norfolk Southern评级维持在持有,2020-03-12
201,德银将Kansas City Southern评级维持在持有,2020-03-12
202,德银将CSX Corp评级维持在买进,2020-03-12
203,德银将杜邦公司评级维持在买进,2020-03-12
204,德银将United Natural Foods评级维持在持有,2020-03-12
205,德银将百事公司评级维持在持有,2020-03-12
206,Needham将Lantronix评级维持在买进,2020-03-12
207,B of A Securities将美国运通公司评级从买进下调至中性,2020-03-12
208,B of A Securities将Foundation Building Matls评级从买进下调至弱于大盘,2020-03-12
209,B of A Securities将NVR Inc评级从买进下调至中性,2020-03-12
210,瑞士信贷将Tellurian评级从强于大盘下调至中性,2020-03-12
211,Argus Research将思佳讯评级从持有上调至买进,2020-03-12
212,Argus Research将Snap评级从持有上调至买进,2020-03-12
213,摩根士丹利将Xcel Energy评级维持在中性,2020-03-12
214,摩根士丹利将Spire Inc评级维持在减持,2020-03-12
215,摩根士丹利将Southern Co评级维持在减持,2020-03-12
216,Argus Research将Regeneron Pharma评级维持在买进,2020-03-12
217,摩根士丹利将Sempra Energy评级维持在中性,2020-03-12
218,Argus Research将美高梅国际酒店集团评级从买进下调至持有,2020-03-12
219,瑞士信贷将Shell Midstream Partners评级从弱于大盘上调至中性,2020-03-12
220,摩根士丹利将标普全球评级维持在增持,2020-03-12
221,摩根士丹利将PSE&G评级维持在增持,2020-03-12
222,摩根大通将Workday评级维持在增持,2020-03-12
223,瑞士信贷将Cheniere Energy Partners评级从弱于大盘上调至中性,2020-03-12
224,摩根大通将Weingarten评级维持在中性,2020-03-12
225,摩根士丹利将Pinnacle West Capital评级维持在减持,2020-03-12
226,摩根大通将NexTier Oilfield评级维持在增持,2020-03-12
227,摩根士丹利将NextEra Energy评级维持在增持,2020-03-12
228,摩根士丹利将Moody's评级维持在中性,2020-03-12
229,摩根大通将Jones Lang Lasalle评级维持在增持,2020-03-12
230,瑞士信贷将Oneok评级从中性上调至强于大盘,2020-03-12
231,Raymond James将Ryman Hospitality评级维持在强于大盘,2020-03-12
232,Raymond James将RLJ Lodging Trust评级维持在强于大盘,2020-03-12
233,摩根士丹利将Entergy评级维持在中性,2020-03-12
234,摩根士丹利将Edison International评级维持在中性,2020-03-12
235,摩根士丹利将杜克能源评级维持在中性,2020-03-12
236,摩根士丹利将DTE Energy评级维持在中性,2020-03-12
237,摩根士丹利将Dominion Energy评级维持在中性,2020-03-12
238,摩根士丹利将Consolidated Edison评级维持在减持,2020-03-12
239,摩根士丹利将CMS Energy评级维持在中性,2020-03-12
240,摩根士丹利将Atmos Energy评级维持在增持,2020-03-12
241,摩根士丹利将美国电力公司评级维持在增持,2020-03-12
242,H.C. Wainwright将Arcturus Therapeutics评级维持在买进,2020-03-12
243,摩根士丹利将Ameren评级维持在增持,2020-03-12
244,摩根士丹利将爱依斯公司评级维持在中性,2020-03-12
245,Raymond James将Physicians Realty Trust评级维持在强于大盘,2020-03-12
246,Raymond James将Healthcare Realty评级维持在强于大盘,2020-03-12
247,Raymond James将Tellurian评级从强于大盘下调至与大盘一致,2020-03-12
248,Raymond James将Targa Resources评级从强烈建议买进下调至强于大盘,2020-03-12
249,Needham将Semtech评级从持有上调至买进,2020-03-12
250,Raymond James将Rattler Midstream评级从强于大盘下调至与大盘一致,2020-03-12
251,H.C. Wainwright将INmune Bio评级维持在买进,2020-03-12
252,Raymond James将Plains GP Holdings评级从强烈建议买进下调至强于大盘,2020-03-12
253,Needham将36KR Holdings评级维持在买进,2020-03-12
254,Raymond James将Plains All American评级从强烈建议买进下调至强于大盘,2020-03-12
255,Raymond James将PBF Logistics评级从强于大盘下调至与大盘一致,2020-03-12
256,Raymond James将NGL Energy Partners评级从强于大盘下调至与大盘一致,2020-03-12
257,Raymond James将MPLX评级从强于大盘下调至与大盘一致,2020-03-12
258,B. Riley FBR将Guess评级维持在买进,2020-03-12
259,Wedbush将盖璞评级维持在中性,2020-03-12
260,Raymond James将Delek Logistics Partners评级从强于大盘下调至与大盘一致,2020-03-12
261,Raymond James将Enlink Midstream评级从强于大盘下调至与大盘一致,2020-03-12
262,B. Riley FBR将BioLife Solutions评级维持在买进,2020-03-12
263,Raymond James将DCP Midstream评级从强于大盘下调至与大盘一致,2020-03-12
264,B. Riley FBR将BlueLinx评级维持在买进,2020-03-12
265,Raymond James将Crestwood Equity Partners评级从强烈建议买进下调至强于大盘,2020-03-12
266,Wedbush将Del Taco Restaurants评级维持在强于大盘,2020-03-12
267,Stephens&Co.将Sientra评级维持在增持,2020-03-12
268,汇丰将Youdao初始评级定为买进,2020-03-12
269,B of A Securities将Toll Brothers评级从中性下调至弱于大盘,2020-03-12
270,BMO Capital将Investors Real Estate Tr评级从强于大盘下调至与大盘一致,2020-03-12
271,BMO Capital将Host Hotels&Resorts评级从强于大盘下调至与大盘一致,2020-03-12
272,BMO Capital将Empire State Realty Trust评级从与大盘一致下调至弱于大盘,2020-03-12
273,Raymond James将希尔顿酒店集团评级从强于大盘下调至与大盘一致,2020-03-12
274,Benchmark将Sonic Auto初始评级定为买进,2020-03-12
275,Cowen&Co.将Ametek评级从与大盘一致上调至强于大盘,2020-03-12
276,摩根士丹利将腾讯音乐娱乐集团评级从中性上调至增持,2020-03-12
277,Bernstein将Williams Cos评级从与大盘一致上调至强于大盘,2020-03-12
278,B of A Securities将KB Home评级从中性上调至买进,2020-03-12
279,Wedbush将Darden Restaurants评级维持在中性,2020-03-12
280,Raymond James将Kinder Morgan评级从与大盘一致上调至强于大盘,2020-03-12
281,Stephens&Co.将Limoneira Co评级维持在中性,2020-03-12
282,SunTrust Robinson Humphrey将Focus Financial Partners评级从持有上调至买进,2020-03-12
283,Piper Sandler将Valero Energy评级从中性上调至增持,2020-03-12
284,摩根士丹利将特斯拉评级维持在减持,2020-03-12
285,贝雅将Akamai Technologies评级从中性上调至强于大盘,2020-03-12
286,花旗集团将道达尔集团评级从中性上调至买进,2020-03-12
287,Atlantic Equities将福斯公司评级从减持上调至中性,2020-03-12
288,巴克莱将WEC Energy Group评级从中性下调至减持,2020-03-12
289,巴克莱将NiSource评级从增持下调至中性,2020-03-12
290,摩根大通将Mirati Therapeutics评级从减持上调至中性,2020-03-12
291,花旗集团将Vanda Pharmaceuticals评级从中性上调至买进,2020-03-12
292,巴克莱将PSE&G评级从中性上调至增持,2020-03-12
293,巴克莱将杜克能源评级从增持下调至中性,2020-03-12
294,巴克莱将Pinnacle West Capital评级从增持下调至中性,2020-03-12
295,Stifel将DCP Midstream评级从买进下调至持有,2020-03-12
296,Compass Point将Acushnet评级从卖出上调至中性,2020-03-12
297,摩根大通将惠普评级从中性上调至增持,2020-03-12
298,Imperial Capital将华特迪士尼公司评级维持在与大盘一致,2020-03-12
299,高盛将Momenta初始评级定为中性,2020-03-12
300,贝雅将Teladoc Health评级从强于大盘下调至中性,2020-03-12
301,花旗集团将英国石油公司评级从买进下调至中性,2020-03-12
302,摩根大通将波音公司评级从增持下调至中性,2020-03-12
303,KeyBanc将康卡斯特评级维持在增持,2020-03-12
304,KeyBanc将Allegheny Technologies评级维持在增持,2020-03-12
305,瑞士信贷将Cabot Oil&Gas评级从中性上调至强于大盘,2020-03-12
306,瑞士信贷将Range Resources评级从中性下调至弱于大盘,2020-03-12
307,瑞士信贷将EQT Corp评级从强于大盘下调至中性,2020-03-12
308,瑞士信贷将中国海洋石油评级从强于大盘下调至弱于大盘,2020-03-12
309,瑞士信贷将西方石油公司评级从中性下调至弱于大盘,2020-03-12
310,德银将Snap评级从持有上调至买进,2020-03-12
311,瑞士信贷将Ovintiv评级从强于大盘下调至中性,2020-03-12
312,瑞士信贷将Concho Resources评级从中性上调至强于大盘,2020-03-12
313,* 大和资本将北京汽车评级从持有上调至买进>1958.HK,2020-03-12
314,* 花旗集团将深南电路评级从买进下调至卖出>002916.SZ,2020-03-12
315,CFRA将家得宝评级从持有上调至强烈建议买进,2020-03-12
316,Cowen&Co.将Cimarex评级从与大盘一致上调至强于大盘,2020-03-11
317,摩根大通将武田药品工业评级维持在增持,2020-03-11
318,摩根大通将Penske Auto评级维持在中性,2020-03-11
319,摩根大通将西方石油公司评级维持在减持,2020-03-11
320,摩根大通将Mobile TeleSystems评级维持在增持,2020-03-11
321,摩根大通将Lithia Motors评级维持在增持,2020-03-11
322,摩根大通将Group 1 Auto评级维持在增持,2020-03-11
323,Cowen&Co.将Domo评级维持在强于大盘,2020-03-11
324,摩根大通将雪佛龙公司评级维持在增持,2020-03-11
325,摩根大通将Cerner评级维持在中性,2020-03-11
326,摩根大通将Beyond Meat评级维持在中性,2020-03-11
327,摩根大通将Asbury Automotive评级维持在减持,2020-03-11
328,摩根大通将EPAM Systems评级维持在增持,2020-03-11
329,摩根大通将ChemoCentryx评级维持在增持,2020-03-11
330,SunTrust Robinson Humphrey将陶氏化学公司评级维持在买进,2020-03-11
331,野村证券将Dick's Sporting Goods评级维持在中性,2020-03-11
332,SunTrust Robinson Humphrey将光辉国际评级维持在买进,2020-03-11
333,SunTrust Robinson Humphrey将Life Storage评级维持在持有,2020-03-11
334,SunTrust Robinson Humphrey将Regency Centers评级维持在买进,2020-03-11
335,SunTrust Robinson Humphrey将SITE Centers评级维持在持有,2020-03-11
336,SunTrust Robinson Humphrey将United Community Banks评级维持在持有,2020-03-11
337,SunTrust Robinson Humphrey将Weingarten评级维持在买进,2020-03-11
338,SunTrust Robinson Humphrey将Cerner评级维持在买进,2020-03-11
339,SunTrust Robinson Humphrey将BWX Technologies评级从持有上调至买进,2020-03-11
340,贝雅将IAA评级维持在强于大盘,2020-03-11
341,贝雅将Copart评级维持在强于大盘,2020-03-11
342,贝雅将WEX评级维持在强于大盘,2020-03-11
343,贝雅将Visa评级维持在强于大盘,2020-03-11
344,贝雅将万事达卡评级维持在强于大盘,2020-03-11
345,贝雅将Global Payments评级维持在强于大盘,2020-03-11
346,贝雅将FleetCor评级维持在中性,2020-03-11
347,贝雅将Fiserv评级维持在强于大盘,2020-03-11
348,贝雅将Fidelity National评级维持在强于大盘,2020-03-11
349,贝雅将2U评级维持在中性,2020-03-11
350,贝雅将Dick's Sporting Goods评级维持在中性,2020-03-11
351,贝雅将Castle Biosciences评级维持在强于大盘,2020-03-11
352,德银将缤客评级维持在买进,2020-03-11
353,贝雅将Constellation Pharma评级维持在强于大盘,2020-03-11
354,德银将DocuSign评级维持在买进,2020-03-11
355,Piper Sandler将Progressive评级维持在增持,2020-03-11
356,Piper Sandler将Hanover Insurance评级维持在增持,2020-03-11
357,德银将TransUnion评级维持在买进,2020-03-11
358,德银将陶氏化学公司评级维持在买进,2020-03-11
359,Piper Sandler将Travelers评级维持在中性,2020-03-11
360,德银将Air Lease评级维持在买进,2020-03-11
361,Piper Sandler将Cincinnati Fincl评级维持在减持,2020-03-11
362,Piper Sandler将好事达公司评级维持在增持,2020-03-11
363,Piper Sandler将American Fincl Group评级维持在增持,2020-03-11
364,德银将Casey's General Stores评级维持在买进,2020-03-11
365,瑞士信贷将光辉国际评级维持在弱于大盘,2020-03-11
366,Argus Research将达美航空公司评级从买进下调至持有,2020-03-11
367,Argus Research将美国联合大陆控股有限公司评级从买进下调至持有,2020-03-11
368,瑞士信贷将Domo评级维持在中性,2020-03-11
369,瑞士信贷将Incyte评级维持在中性,2020-03-11
370,Oppenheimer将Wesco International评级维持在强于大盘,2020-03-11
371,Oppenheimer将Regeneron Pharma评级维持在强于大盘,2020-03-11
372,Stifel将Texas Roadhouse评级维持在持有,2020-03-11
373,Stifel将Shake Shack评级维持在持有,2020-03-11
374,Stifel将Principia Biopharma评级维持在买进,2020-03-11
375,Stifel将Jack In The Box评级维持在买进,2020-03-11
376,Stifel将Darden Restaurants评级维持在买进,2020-03-11
377,Stifel将Brinker International评级维持在买进,2020-03-11
378,Stifel将MRC Global评级从持有上调至买进,2020-03-11
379,摩根士丹利将Westlake Chemical评级维持在中性,2020-03-11
380,摩根士丹利将Syndax Pharmaceuticals评级维持在中性,2020-03-11
381,摩根士丹利将Simon Property评级维持在中性,2020-03-11
382,摩根士丹利将Lithia Motors评级维持在增持,2020-03-11
383,摩根士丹利将Group 1 Auto评级维持在增持,2020-03-11
384,摩根士丹利将通用汽车公司评级维持在增持,2020-03-11
385,摩根士丹利将陶氏化学公司评级维持在中性,2020-03-11
386,摩根士丹利将福特汽车公司评级维持在增持,2020-03-11
387,摩根士丹利将AutoNation评级维持在减持,2020-03-11
388,富国银行将WPX Energy评级维持在增持,2020-03-11
389,花旗集团将Visa评级维持在买进,2020-03-11
390,富国银行将SJW Group评级维持在增持,2020-03-11
391,花旗集团将Methanex评级维持在中性,2020-03-11
392,富国银行将Vail Resorts评级维持在中性,2020-03-11
393,富国银行将Twilio评级维持在增持,2020-03-11
394,花旗集团将万事达卡评级维持在买进,2020-03-11
395,富国银行将西方石油公司评级维持在中性,2020-03-11
396,富国银行将HubSpot评级维持在中性,2020-03-11
397,花旗集团将伊士曼化工公司评级维持在中性,2020-03-11
398,花旗集团将陶氏化学公司评级维持在中性,2020-03-11
399,富国银行将Guidewire Software评级维持在减持,2020-03-11
400,花旗集团将杜邦公司评级维持在买进,2020-03-11
401,富国银行将Essential Utilities评级维持在中性,2020-03-11
402,富国银行将DXC Technology评级维持在减持,2020-03-11
403,富国银行将Coupa Software评级维持在中性,2020-03-11
404,富国银行将Ceridian HCM评级维持在增持,2020-03-11
405,H.C. Wainwright将Precision Biosciences评级维持在买进,2020-03-11
406,富国银行将Anaplan评级维持在增持,2020-03-11
407,富国银行将Sunesis Pharmaceuticals评级从增持下调至中性,2020-03-11
408,富国银行将空气产品公司评级从中性上调至增持,2020-03-11
409,高盛将礼来公司评级维持在买进,2020-03-11
410,瑞银将Waste Management评级维持在买进,2020-03-11
411,Stephens&Co.将LiveRamp Holdings评级维持在增持,2020-03-11
412,瑞银将Regis Corp评级维持在买进,2020-03-11
413,花旗集团将塞拉尼斯评级维持在中性,2020-03-11
414,瑞银将Cerner评级维持在买进,2020-03-11
415,Stephens&Co.将Casey's General Stores评级维持在增持,2020-03-11
416,花旗集团将Crown Holdings评级维持在买进,2020-03-11
417,瑞银将Dick's Sporting Goods评级维持在中性,2020-03-11
418,花旗集团将Berry Global Group评级维持在买进,2020-03-11
419,花旗集团将Avery Dennison评级维持在中性,2020-03-11
420,瑞银将Domo评级维持在中性,2020-03-11
421,Stephens&Co.将Wabtec评级维持在增持,2020-03-11
422,瑞穗将携程集团评级维持在买进,2020-03-11
423,Wedbush将Shake Shack评级维持在中性,2020-03-11
424,Rosenblatt将GoDaddy初始评级定为买进,2020-03-11
425,B. Riley FBR将WideOpenWest评级从买进下调至中性,2020-03-11
426,B. Riley FBR将Victory Capital评级维持在买进,2020-03-11
427,花旗集团将NuSTAR Energy评级从中性上调至买进,2020-03-11
428,B. Riley FBR将Valaris评级从中性下调至卖出,2020-03-11
429,B. Riley FBR将Tetra Technologies评级从买进下调至中性,2020-03-11
430,B. Riley FBR将Trecora Resources评级维持在买进,2020-03-11
431,B. Riley FBR将Telaria评级维持在买进,2020-03-11
432,Wedbush将Apellis Pharmaceuticals评级从弱于大盘上调至中性,2020-03-11
433,Wedbush将Zumiez评级从弱于大盘上调至中性,2020-03-11
