,content,date
25,野村证券将Ulta Beauty目标价从230.00美元下调至225.00美元,2020-03-13
26,Sidoti&Co.将Spartan Motors目标价从22.00美元下调至20.00美元,2020-03-13
27,Sidoti&Co.将Par Technology目标价定为33.00美元,2020-03-13
28,摩根士丹利将贝莱德目标价从621.00美元下调至582.00美元,2020-03-13
29,摩根士丹利将Ares Management目标价从38.00美元下调至35.00美元,2020-03-13
30,摩根士丹利将Apollo Global Management目标价从53.00美元下调至44.00美元,2020-03-13
31,Stephens&Co.将RE/MAX Holdings目标价定为38.00美元,2020-03-13
32,H.C. Wainwright将Celcuity目标价从36.00美元下调至19.00美元,2020-03-13
33,贝雅将Zumiez目标价从35.00美元下调至23.00美元,2020-03-13
34,贝雅将Slack Technologies目标价从31.00美元下调至24.00美元,2020-03-13
35,贝雅将Ulta Beauty目标价从315.00美元下调至265.00美元,2020-03-13
36,贝雅将Pieris Pharmaceuticals目标价定为5.00美元,2020-03-13
37,贝雅将派克汉尼汾公司目标价从233.00美元下调至185.00美元,2020-03-13
38,贝雅将盖璞目标价从17.00美元下调至13.00美元,2020-03-13
39,CFRA将Semtech目标价从53.00美元下调至40.00美元,2020-03-13
40,贝雅将Genesco目标价从52.00美元下调至26.00美元,2020-03-13
41,贝雅将Homology Medicines目标价从30.00美元上调至32.00美元,2020-03-13
42,贝雅将卡特彼勒公司目标价从185.00美元下调至157.00美元,2020-03-13
43,贝雅将博通目标价从400.00美元下调至300.00美元,2020-03-13
44,Argus Research将华特迪士尼公司目标价从160.00美元下调至130.00美元,2020-03-13
45,Argus Research将Wayfair目标价从96.00美元下调至60.00美元,2020-03-13
46,Stifel将Western Midstream Ptrs目标价从26.00美元下调至13.00美元,2020-03-13
47,Stifel将Ulta Beauty目标价从230.00美元下调至220.00美元,2020-03-13
48,Stifel将Targa Resources目标价从41.00美元下调至27.00美元,2020-03-13
49,Stifel将Oneok目标价从82.00美元下调至56.00美元,2020-03-13
50,Stifel将Monarch Casino目标价从51.00美元下调至35.00美元,2020-03-13
51,Stifel将EPR Properties目标价从75.00美元下调至55.00美元,2020-03-13
52,Stifel将Align Technology目标价从305.00美元下调至275.00美元,2020-03-13
53,Stifel将Adobe目标价从350.00美元下调至325.00美元,2020-03-13
54,MKM Partners将盖璞目标价从19.00美元下调至11.00美元,2020-03-13
55,MKM Partners将Slack Technologies目标价从28.00美元下调至27.00美元,2020-03-13
56,瑞银将Westlake Chemical目标价从50.00美元下调至28.00美元,2020-03-13
57,瑞银将Ulta Beauty目标价从300.00美元下调至270.00美元,2020-03-13
58,瑞银将标普全球目标价从330.00美元下调至298.00美元,2020-03-13
59,瑞银将甲骨文公司目标价从57.00美元下调至44.00美元,2020-03-13
60,瑞银将Olin Corp目标价从17.00美元下调至9.00美元,2020-03-13
61,CFRA将Ulta Beauty目标价从340.00美元下调至240.00美元,2020-03-13
62,富国银行将甲骨文公司目标价从65.00美元下调至55.00美元,2020-03-13
63,瑞银将美盛公司目标价从25.00美元下调至18.00美元,2020-03-13
64,富国银行将Medallia目标价从45.00美元下调至32.50美元,2020-03-13
65,瑞银将美国西南航空目标价从60.00美元下调至37.00美元,2020-03-13
66,富国银行将Kezar Life Sciences目标价从30.00美元下调至18.00美元,2020-03-13
67,瑞银将Expedia Group目标价从150.00美元下调至100.00美元,2020-03-13
68,瑞银将陶氏化学公司目标价从60.00美元下调至30.00美元,2020-03-13
69,瑞银将达美航空公司目标价从62.00美元下调至37.00美元,2020-03-13
70,瑞银将CF Industries目标价从55.00美元下调至38.00美元,2020-03-13
71,瑞银将博通目标价从360.00美元下调至325.00美元,2020-03-13
72,瑞士信贷将甲骨文公司目标价从62.00美元下调至57.00美元,2020-03-13
73,瑞银将Alaska Air Group目标价从75.00美元下调至40.00美元,2020-03-13
74,瑞银将Adobe目标价从430.00美元下调至344.00美元,2020-03-13
75,瑞银将美国联合大陆控股有限公司目标价从107.00美元下调至41.00美元,2020-03-13
76,瑞士信贷将华特迪士尼公司目标价从163.00美元下调至150.00美元,2020-03-13
77,瑞士信贷将康卡斯特目标价从55.00美元下调至51.00美元,2020-03-13
78,瑞银将JetBlue目标价从25.00美元下调至12.00美元,2020-03-13
79,瑞士信贷将盖璞目标价从14.00美元下调至11.00美元,2020-03-13
80,瑞士信贷将Adobe目标价从385.00美元下调至370.00美元,2020-03-13
81,Wedbush将Ansys目标价从295.00美元下调至249.00美元,2020-03-13
82,Wedbush将Biohaven Pharma目标价从73.00美元上调至78.00美元,2020-03-13
83,瑞士信贷将Slack Technologies目标价从27.00美元下调至21.00美元,2020-03-13
84,Wedbush将Corvus Pharmaceuticals目标价从11.00美元下调至8.00美元,2020-03-13
85,H.C. Wainwright将Rubius Therapeutics目标价从40.00美元下调至28.00美元,2020-03-13
86,花旗集团将Oshkosh目标价从85.00美元下调至75.00美元,2020-03-13
87,花旗集团将United Rentals目标价从160.00美元下调至135.00美元,2020-03-13
88,德银将耐克公司目标价从120.00美元下调至80.00美元,2020-03-13
89,花旗集团将Ulta Beauty目标价从242.00美元下调至205.00美元,2020-03-13
90,花旗集团将Silicon Laboratories目标价从123.00美元下调至93.00美元,2020-03-13
91,花旗集团将Spirit Airlines目标价从45.00美元下调至39.00美元,2020-03-13
92,花旗集团将派克汉尼汾公司目标价从185.00美元下调至145.00美元,2020-03-13
93,花旗集团将北美信托银行目标价从110.00美元下调至85.00美元,2020-03-13
94,Northland将Advanced Micro Devices目标价从45.00美元上调至52.50美元,2020-03-13
95,花旗集团将Helmerich&Payne目标价从46.00美元下调至20.00美元,2020-03-13
96,花旗集团将哈里伯顿公司目标价从14.00美元下调至8.00美元,2020-03-13
97,花旗集团将Eaton Vance目标价从50.00美元下调至36.00美元,2020-03-13
98,花旗集团将迪尔公司目标价从190.00美元下调至165.00美元,2020-03-13
99,花旗集团将达美航空公司目标价从64.00美元下调至57.00美元,2020-03-13
100,花旗集团将CVR Energy目标价从40.00美元下调至18.00美元,2020-03-13
101,花旗集团将Cummins目标价从180.00美元下调至160.00美元,2020-03-13
102,花旗集团将Core Labs目标价从40.00美元下调至11.00美元,2020-03-13
103,花旗集团将卡特彼勒公司目标价从150.00美元下调至130.00美元,2020-03-13
104,花旗集团将贝莱德目标价从600.00美元下调至510.00美元,2020-03-13
105,花旗集团将贝克休斯目标价从33.00美元下调至26.00美元,2020-03-13
106,花旗集团将博通目标价从378.00美元下调至340.00美元,2020-03-13
107,花旗集团将Apergy目标价从23.00美元下调至9.00美元,2020-03-13
108,花旗集团将Artisan Partners Asset目标价从40.00美元下调至24.50美元,2020-03-13
109,花旗集团将Affiliated Managers目标价从87.50美元下调至68.00美元,2020-03-13
110,花旗集团将Allison Transmission目标价从48.00美元下调至42.00美元,2020-03-13
111,花旗集团将Adobe目标价从329.00美元下调至293.00美元,2020-03-13
112,Cowen&Co.将Adobe目标价从315.00美元上调至325.00美元,2020-03-13
113,富国银行将Marathon Petroleum目标价从67.00美元下调至43.00美元,2020-03-13
114,富国银行将HollyFrontier目标价从50.00美元下调至26.00美元,2020-03-13
115,B. Riley FBR将Zumiez目标价从38.00美元下调至33.00美元,2020-03-13
116,富国银行将Ulta Beauty目标价从250.00美元下调至230.00美元,2020-03-13
117,B. Riley FBR将X4 Pharmaceuticals目标价从25.00美元下调至19.00美元,2020-03-13
118,富国银行将Phillips 66目标价从130.00美元下调至78.00美元,2020-03-13
119,B. Riley FBR将ViewRay目标价从5.00美元下调至2.50美元,2020-03-13
120,富国银行将派克汉尼汾公司目标价从230.00美元下调至180.00美元,2020-03-13
121,B. Riley FBR将Tilly's目标价从13.50美元下调至9.50美元,2020-03-13
122,富国银行将Valero Energy目标价从114.00美元下调至71.00美元,2020-03-13
123,B. Riley FBR将Select Interior Concepts目标价从17.00美元下调至10.00美元,2020-03-13
124,富国银行将Darden Restaurants目标价从116.00美元下调至85.00美元,2020-03-13
125,B. Riley FBR将QAD Inc目标价从60.00美元下调至50.00美元,2020-03-13
126,富国银行将Adobe目标价从345.00美元下调至315.00美元,2020-03-13
127,B. Riley FBR将PowerFleet目标价从8.50美元下调至6.25美元,2020-03-13
128,富国银行将Valaris目标价从5.00美元下调至0.50美元,2020-03-13
129,富国银行将Transocean目标价从8.00美元下调至2.00美元,2020-03-13
130,B. Riley FBR将Park-Ohio Holdings目标价从30.00美元下调至10.00美元,2020-03-13
131,富国银行将Tetra Technologies目标价从2.25美元下调至1.00美元,2020-03-13
132,B. Riley FBR将MediciNova目标价从22.00美元下调至11.00美元,2020-03-13
133,B. Riley FBR将盖璞目标价从18.00美元下调至16.00美元,2020-03-13
134,富国银行将Noble Corp目标价从1.50美元下调至0.20美元,2020-03-13
135,富国银行将九城集团目标价从8.00美元下调至0.50美元,2020-03-13
136,富国银行将NCS Multistage目标价从2.50美元下调至0.50美元,2020-03-13
137,B. Riley FBR将Farmland Partners目标价从7.00美元下调至6.00美元,2020-03-13
138,B. Riley FBR将Fortress Biotech目标价从9.00美元下调至6.00美元,2020-03-13
139,富国银行将Diamond Offshore目标价从5.00美元下调至1.00美元,2020-03-13
140,B. Riley FBR将Arrowhead Pharmaceuticals目标价从83.00美元下调至57.00美元,2020-03-13
141,B. Riley FBR将Allena Pharmaceuticals目标价从11.00美元下调至7.00美元,2020-03-13
142,Raymond James将甲骨文公司目标价从61.00美元下调至56.00美元,2020-03-13
143,Raymond James将Focus Financial Partners目标价从50.00美元下调至43.00美元,2020-03-13
144,Raymond James将Dollar General目标价从185.00美元下调至165.00美元,2020-03-13
145,Raymond James将Envestnet目标价从95.00美元下调至87.00美元,2020-03-13
146,Raymond James将Bellicum Pharmaceuticals目标价从40.00美元下调至17.00美元,2020-03-13
147,Raymond James将AssetMark Financial目标价从33.00美元下调至29.00美元,2020-03-13
148,H.C. Wainwright将Tecogen目标价从6.00美元下调至4.50美元,2020-03-13
149,Cantor Fitzgerald将CymaBay Therapeutics目标价从2.00美元上调至5.00美元,2020-03-13
150,Needham将Lizhi目标价从19.00美元下调至12.00美元,2020-03-13
151,Rosenblatt将华特迪士尼公司目标价从180.00美元下调至140.00美元,2020-03-13
152,Rosenblatt将博通目标价从370.00美元下调至350.00美元,2020-03-13
153,贝雅将TransUnion目标价从109.00美元下调至76.00美元,2020-03-13
154,Needham将Asure Software目标价从11.00美元下调至8.00美元,2020-03-13
155,Needham将Silicon Laboratories目标价从115.00美元下调至100.00美元,2020-03-13
156,德银将Vivint Smart Home目标价定为15.00美元,2020-03-13
157,贝雅将Fastenal目标价从38.00美元上调至40.00美元,2020-03-13
158,Imperial Capital将Northern Oil目标价从2.50美元下调至1.50美元,2020-03-13
159,Imperial Capital将Earthstone Energy目标价从7.00美元下调至3.00美元,2020-03-13
160,KeyBanc将WEC Energy Group目标价定为96.00美元,2020-03-13
161,高盛将卡夫亨氏公司目标价从27.00美元上调至28.00美元,2020-03-13
162,KeyBanc将触宝目标价从9.00美元上调至13.00美元,2020-03-13
163,KeyBanc将CenterPoint Energy目标价定为12.00美元,2020-03-13
164,摩根大通将Adobe目标价定为325.00美元,2020-03-13
165,KeyBanc将博通目标价从360.00美元下调至240.00美元,2020-03-13
166,摩根大通将Dolby Laboratories目标价定为66.00美元,2020-03-13
167,KeyBanc将美国电力公司目标价定为93.00美元,2020-03-13
168,Raymond James将NextEra Energy Partners目标价定为63.00美元,2020-03-13
169,Raymond James将MarketAxess目标价定为371.00美元,2020-03-13
170,Piper Sandler将Inovio Pharma目标价定为8.00美元,2020-03-13
171,富国银行将苹果公司目标价定为315.00美元,2020-03-13
172,高盛将摩根士丹利目标价从52.00美元下调至43.00美元,2020-03-13
173,高盛将US Bancorp目标价从48.00美元下调至38.00美元,2020-03-13
174,BMO Capital将Amcor目标价定为9.00美元,2020-03-13
175,Roth Capital将IDEAYA Biosciences目标价定为12.00美元,2020-03-13
176,高盛将Waste Management目标价定为115.00美元,2020-03-13
177,高盛将Vertiv Holdings目标价定为12.00美元,2020-03-13
178,高盛将Valvoline目标价定为24.00美元,2020-03-13
179,高盛将金宝汤目标价定为47.00美元,2020-03-13
180,* 交银国际将友邦保险目标价从100港元下调至92港元,2020-03-13
181,* 美国富瑞金融集团将58同城目标价从68.00美元下调至63.10美元 >WUBA,2020-03-13
182,* 交银国际将中国电力目标价从2.43港元下调至2.13港元>2380.HK,2020-03-13
183,* 中金将58同城目标价从70美元下调至53美元>WUBA,2020-03-13
184,* 大和资本将宁德时代目标价从人民币125元上调至人民币132元>300750.SZ,2020-03-13
185,* 大和资本将太古目标价从40.90港元下调至40.10港元>0019.HK,2020-03-13
186,* 花旗集团将太古地产目标价从29.30港元下调至27.80港元>1972.HK,2020-03-13
187,* 花旗投资研究将海隆控股目标价从1.67港元下调至1.36港元>1623.HK,2020-03-13
188,* 大和资本将惠理集团目标价从5.00港元下调至4.60港元>0806.HK,2020-03-13
189,* 大和资本将中国海洋石油目标价从8.90港元下调至7.80港元>0883.HK,2020-03-13
190,CFRA将US Foods Holding目标价从45.00美元下调至30.00美元,2020-03-13
191,B of A Securities将58同城目标价从62.00美元下调至59.00美元,2020-03-13
192,Canaccord Genuity将波音公司目标价从340.00美元下调至225.00美元,2020-03-12
193,瑞士信贷将Entasis Therapeutics目标价从18.00美元下调至14.00美元,2020-03-12
194,瑞士信贷将目标价Hospitality目标价从5.50美元下调至4.25美元,2020-03-12
195,瑞士信贷将目标价Hospitality评级维持在强于大盘,2020-03-12
196,Sidoti&Co.将Douglas Dynamics目标价定为50.00美元,2020-03-12
197,Sidoti&Co.将Park-Ohio Holdings目标价从49.00美元下调至36.00美元,2020-03-12
198,Sidoti&Co.将Insteel Industries目标价从28.00美元下调至19.00美元,2020-03-12
199,德银将Werner Enterprises目标价从41.00美元下调至38.00美元,2020-03-12
200,德银将Union Pacific目标价从215.00美元下调至205.00美元,2020-03-12
201,德银将Saia目标价从110.00美元下调至101.00美元,2020-03-12
202,德银将Old Dominion Freight目标价从182.00美元下调至181.00美元,2020-03-12
203,德银将Kansas City Southern目标价从178.00美元下调至177.00美元,2020-03-12
204,德银将CSX Corp目标价从90.00美元下调至71.00美元,2020-03-12
205,德银将杜邦公司目标价从65.00美元下调至50.00美元,2020-03-12
206,德银将United Natural Foods目标价从10.00美元下调至7.00美元,2020-03-12
207,德银将百事公司目标价从145.00美元下调至143.00美元,2020-03-12
208,Needham将Lantronix目标价从4.25美元下调至4.00美元,2020-03-12
209,B of A Securities将美国运通公司目标价定为108.00美元,2020-03-12
210,BMO Capital将希尔顿酒店集团目标价从124.00美元下调至88.00美元,2020-03-12
211,B of A Securities将Foundation Building Matls目标价从24.00美元下调至15.00美元,2020-03-12
212,Argus Research将思佳讯目标价定为112.00美元,2020-03-12
213,Argus Research将Snap目标价定为16.00美元,2020-03-12
214,摩根士丹利将Xcel Energy目标价从70.00美元下调至64.00美元,2020-03-12
215,摩根士丹利将Spire Inc目标价从87.00美元下调至74.00美元,2020-03-12
216,摩根士丹利将Southern Co目标价从64.00美元下调至59.00美元,2020-03-12
217,Argus Research将Regeneron Pharma目标价从430.00美元上调至540.00美元,2020-03-12
218,摩根士丹利将Sempra Energy目标价从171.00美元下调至154.00美元,2020-03-12
219,摩根士丹利将标普全球目标价从337.00美元下调至319.00美元,2020-03-12
220,摩根士丹利将PSE&G目标价从73.00美元下调至69.00美元,2020-03-12
221,摩根大通将Workday目标价从190.00美元下调至175.00美元,2020-03-12
222,瑞士信贷将Cheniere Energy Partners目标价定为31.00美元,2020-03-12
223,摩根大通将Weingarten目标价从31.00美元下调至29.00美元,2020-03-12
224,摩根士丹利将Pinnacle West Capital目标价从96.00美元下调至88.00美元,2020-03-12
225,摩根大通将NexTier Oilfield目标价从9.00美元下调至5.00美元,2020-03-12
226,摩根士丹利将NextEra Energy目标价从255.00美元下调至242.00美元,2020-03-12
227,摩根士丹利将Moody's目标价从240.00美元下调至234.00美元,2020-03-12
228,摩根大通将Jones Lang Lasalle目标价从198.00美元下调至183.00美元,2020-03-12
229,瑞士信贷将Oneok目标价从79.00美元下调至50.00美元,2020-03-12
230,Raymond James将Ryman Hospitality目标价从96.00美元下调至65.00美元,2020-03-12
231,Raymond James将RLJ Lodging Trust目标价从20.00美元下调至12.00美元,2020-03-12
232,摩根士丹利将Entergy目标价从128.00美元下调至117.00美元,2020-03-12
233,摩根士丹利将杜克能源目标价从108.00美元下调至99.00美元,2020-03-12
234,摩根士丹利将DTE Energy目标价从130.00美元下调至116.00美元,2020-03-12
235,摩根士丹利将Consolidated Edison目标价从97.00美元下调至89.00美元,2020-03-12
236,摩根士丹利将CMS Energy目标价从71.00美元下调至66.00美元,2020-03-12
237,摩根士丹利将Atmos Energy目标价从124.00美元下调至110.00美元,2020-03-12
238,摩根士丹利将美国电力公司目标价从102.00美元上调至103.00美元,2020-03-12
239,H.C. Wainwright将Arcturus Therapeutics目标价从18.00美元上调至24.00美元,2020-03-12
240,摩根士丹利将Ameren目标价从94.00美元下调至87.00美元,2020-03-12
241,Raymond James将Physicians Realty Trust目标价从20.00美元上调至22.00美元,2020-03-12
242,Raymond James将Healthcare Realty目标价从36.00美元上调至38.00美元,2020-03-12
243,Needham将Semtech目标价定为45.00美元,2020-03-12
244,Needham将36KR Holdings目标价从14.00美元下调至8.00美元,2020-03-12
245,B. Riley FBR将Semtech目标价从55.00美元下调至50.00美元,2020-03-12
246,B. Riley FBR将Guess目标价从25.00美元下调至20.00美元,2020-03-12
247,Wedbush将盖璞目标价从20.00美元下调至12.00美元,2020-03-12
248,B. Riley FBR将BioLife Solutions目标价从27.00美元下调至24.00美元,2020-03-12
249,B. Riley FBR将BlueLinx目标价从17.00美元下调至13.00美元,2020-03-12
250,Raymond James将Crestwood Equity Partners目标价从39.00美元下调至11.00美元,2020-03-12
251,Wedbush将Del Taco Restaurants目标价从11.00美元下调至6.00美元,2020-03-12
252,Stephens&Co.将Sientra目标价从14.00美元下调至10.00美元,2020-03-12
253,汇丰将Youdao目标价定为28.00美元,2020-03-12
254,B of A Securities将Toll Brothers目标价从45.00美元下调至35.00美元,2020-03-12
255,BMO Capital将Investors Real Estate Tr目标价从85.00美元下调至74.00美元,2020-03-12
256,BMO Capital将Host Hotels&Resorts目标价从19.00美元下调至13.00美元,2020-03-12
257,BMO Capital将Empire State Realty Trust目标价从14.00美元下调至9.00美元,2020-03-12
258,Raymond James将希尔顿酒店集团目标价从124.00美元下调至88.00美元,2020-03-12
259,Benchmark将Sonic Auto目标价定为35.00美元,2020-03-12
260,Canaccord Genuity将Neoleukin Therapeutics目标价定为20.00美元,2020-03-12
261,Cowen&Co.将Ametek目标价从100.00美元下调至95.00美元,2020-03-12
262,摩根士丹利将腾讯音乐娱乐集团目标价从15.00美元上调至16.00美元,2020-03-12
263,Bernstein将Williams Cos目标价从25.00美元下调至21.00美元,2020-03-12
264,B of A Securities将KB Home目标价从44.00美元下调至36.00美元,2020-03-12
265,Wedbush将Darden Restaurants目标价从120.00美元下调至76.00美元,2020-03-12
266,加皇资本市场将LendingTree目标价从343.00美元下调至332.00美元,2020-03-12
267,Stephens&Co.将Limoneira Co目标价从20.00美元下调至16.00美元,2020-03-12
268,摩根士丹利将特斯拉目标价从500.00美元下调至480.00美元,2020-03-12
269,贝雅将Akamai Technologies目标价从100.00美元上调至105.00美元,2020-03-12
270,巴克莱将WEC Energy Group目标价从92.00美元上调至97.00美元,2020-03-12
271,巴克莱将NiSource目标价定为31.00美元,2020-03-12
272,摩根大通将Mirati Therapeutics目标价定为88.00美元,2020-03-12
273,花旗集团将Vanda Pharmaceuticals目标价定为14.00美元,2020-03-12
274,巴克莱将杜克能源目标价定为104.00美元,2020-03-12
275,巴克莱将Pinnacle West Capital目标价从98.00美元上调至103.00美元,2020-03-12
276,Stifel将DCP Midstream目标价从26.00美元下调至11.00美元,2020-03-12
277,Compass Point将Acushnet目标价定为24.25美元,2020-03-12
278,摩根大通将惠普目标价定为24.00美元,2020-03-12
279,Imperial Capital将华特迪士尼公司目标价从144.00美元下调至118.00美元,2020-03-12
280,高盛将Momenta目标价定为29.00美元,2020-03-12
281,贝雅将Teladoc Health目标价定为130.00美元,2020-03-12
282,摩根大通将波音公司目标价从370.00美元下调至210.00美元,2020-03-12
283,KeyBanc将康卡斯特目标价从50.00美元下调至46.00美元,2020-03-12
284,KeyBanc将Allegheny Technologies目标价从26.00美元下调至18.00美元,2020-03-12
285,贝雅将Scholar Rock Holding目标价定为35.00美元,2020-03-12
286,德银将Snap目标价从20.00美元下调至19.00美元,2020-03-12
287,* 交银国际将拼多多目标价从52美元下调至46美元 >PDD,2020-03-12
288,* 大和将国泰航空目标价从13.00港元上调至13.50港元>0293.HK,2020-03-12
289,* 大和将中银航空租赁目标价从79.00港元上调至81.00港元>2588.HK,2020-03-12
290,* 花旗集团将时代邻里目标价从7.50港元上调至10.00港元>9928.HK,2020-03-12
291,* 花旗集团将研华目标价从新台币315元下调至290元>2395.TW,2020-03-12
292,* 大和将中国海洋石油目标价从9.50港元下调至8.90港元>0883.HK,2020-03-12
293,* 大和资本将建准电机目标价从新台币53元上调至新台币56元>2421.TW,2020-03-12
294,* 大和资本将北汽目标价从4.40港元下调至4.3港元,2020-03-12
295,* 花旗集团将深南电路目标价从人民币210元上调至220元,2020-03-12
296,* 大和资本将蒙牛乳业目标价从35.50港元下调至32.60港元>2319.HK,2020-03-12
297,* 大和资本将美团点评目标价从135港元下调至125港元>3690.HK,2020-03-12
298,* 花旗投资研究将研华目标价从新台币315元下调至新台币290元>2395.TW,2020-03-12
299,CFRA将家得宝目标价定为255.00美元,2020-03-12
300,CFRA将Carvana目标价从65.00美元下调至40.00美元,2020-03-12
301,Needham将Resonant目标价从4.50美元下调至3.00美元,2020-03-11
302,摩根大通将武田药品工业目标价从31.00美元下调至30.00美元,2020-03-11
303,摩根大通将Sonic Auto目标价从35.00美元下调至28.00美元,2020-03-11
304,摩根大通将Penske Auto目标价从57.00美元下调至49.00美元,2020-03-11
305,摩根大通将西方石油公司目标价从37.00美元下调至16.00美元,2020-03-11
306,摩根大通将Mobile TeleSystems目标价从12.00美元下调至11.00美元,2020-03-11
307,摩根大通将Lithia Motors目标价从165.00美元下调至130.00美元,2020-03-11
308,摩根大通将Group 1 Auto目标价从120.00美元下调至89.00美元,2020-03-11
309,摩根大通将埃克森美孚目标价从64.00美元下调至50.00美元,2020-03-11
310,摩根大通将康菲石油公司目标价从67.00美元下调至48.00美元,2020-03-11
311,摩根大通将雪佛龙公司目标价从127.00美元下调至103.00美元,2020-03-11
312,摩根大通将Cerner目标价从75.00美元下调至74.00美元,2020-03-11
313,摩根大通将Beyond Meat目标价从134.00美元下调至108.00美元,2020-03-11
314,摩根大通将Asbury Automotive目标价从118.00美元下调至84.00美元,2020-03-11
315,摩根大通将EPAM Systems目标价从247.00美元上调至249.00美元,2020-03-11
316,摩根大通将ChemoCentryx目标价从60.00美元上调至61.00美元,2020-03-11
317,SunTrust Robinson Humphrey将陶氏化学公司目标价从59.00美元下调至47.00美元,2020-03-11
318,野村证券将Dick's Sporting Goods目标价从47.00美元下调至42.00美元,2020-03-11
319,SunTrust Robinson Humphrey将光辉国际目标价从58.00美元下调至44.00美元,2020-03-11
320,B of A Securities将卡特彼勒公司目标价从150.00美元下调至123.00美元,2020-03-11
321,B of A Securities将Cloudera目标价从8.00美元上调至9.00美元,2020-03-11
322,SunTrust Robinson Humphrey将Life Storage目标价从107.00美元上调至115.00美元,2020-03-11
323,B of A Securities将CrowdStrike Holdings目标价从86.00美元下调至75.00美元,2020-03-11
324,SunTrust Robinson Humphrey将Regency Centers目标价从71.00美元下调至65.00美元,2020-03-11
325,SunTrust Robinson Humphrey将SITE Centers目标价从13.00美元下调至11.00美元,2020-03-11
326,SunTrust Robinson Humphrey将United Community Banks目标价从27.00美元下调至22.00美元,2020-03-11
327,SunTrust Robinson Humphrey将Weingarten目标价从33.00美元下调至31.00美元,2020-03-11
328,SunTrust Robinson Humphrey将Cerner目标价从82.00美元下调至79.00美元,2020-03-11
329,SunTrust Robinson Humphrey将Bluegreen Vacations目标价从11.00美元下调至9.00美元,2020-03-11
330,SunTrust Robinson Humphrey将BWX Technologies目标价维持在60.00美元,2020-03-11
331,贝雅将IAA目标价从50.00美元下调至46.00美元,2020-03-11
332,贝雅将Copart目标价从100.00美元下调至90.00美元,2020-03-11
333,贝雅将WEX目标价从230.00美元下调至195.00美元,2020-03-11
334,贝雅将Visa目标价从220.00美元下调至196.00美元,2020-03-11
335,贝雅将万事达卡目标价从348.00美元下调至314.00美元,2020-03-11
336,贝雅将Global Payments目标价从222.00美元下调至202.00美元,2020-03-11
337,贝雅将FleetCor目标价从358.00美元下调至304.00美元,2020-03-11
338,贝雅将Fiserv目标价从143.00美元下调至126.00美元,2020-03-11
339,贝雅将Fidelity National目标价从172.00美元下调至156.00美元,2020-03-11
340,贝雅将2U目标价从28.00美元上调至30.00美元,2020-03-11
341,贝雅将Dick's Sporting Goods目标价从51.00美元下调至40.00美元,2020-03-11
342,贝雅将Castle Biosciences目标价从37.00美元上调至38.00美元,2020-03-11
343,德银将缤客目标价从2340.00美元下调至2225.00美元,2020-03-11
344,贝雅将Constellation Pharma目标价从65.00美元下调至55.00美元,2020-03-11
345,德银将DocuSign目标价从80.00美元上调至90.00美元,2020-03-11
346,Piper Sandler将Progressive目标价从90.00美元下调至88.00美元,2020-03-11
347,Piper Sandler将Hanover Insurance目标价从151.00美元下调至130.00美元,2020-03-11
348,德银将TransUnion目标价从105.00美元下调至93.00美元,2020-03-11
349,德银将陶氏化学公司目标价从58.00美元下调至40.00美元,2020-03-11
350,Piper Sandler将Travelers目标价从140.00美元下调至125.00美元,2020-03-11
351,德银将Air Lease目标价从58.00美元下调至45.00美元,2020-03-11
